z,E,H,Omega_m,Omega_Lambda,Omega_r
1.000000e-03,1.000545e+00,6.906761e+01,3.005732e-01,6.993365e-01,9.026215e-05
1.032828e-03,1.000563e+00,6.906885e+01,3.005921e-01,6.993177e-01,9.027076e-05
1.066734e-03,1.000581e+00,6.907013e+01,3.006115e-01,6.992982e-01,9.027965e-05
1.101753e-03,1.000600e+00,6.907144e+01,3.006316e-01,6.992781e-01,9.028884e-05
1.137921e-03,1.000620e+00,6.907280e+01,3.006523e-01,6.992574e-01,9.029833e-05
1.175277e-03,1.000640e+00,6.907421e+01,3.006737e-01,6.992360e-01,9.030813e-05
1.213859e-03,1.000661e+00,6.907566e+01,3.006958e-01,6.992138e-01,9.031826e-05
1.253708e-03,1.000683e+00,6.907716e+01,3.007187e-01,6.991910e-01,9.032871e-05
1.294865e-03,1.000706e+00,6.907871e+01,3.007423e-01,6.991674e-01,9.033951e-05
1.337373e-03,1.000729e+00,6.908031e+01,3.007667e-01,6.991430e-01,9.035067e-05
1.381276e-03,1.000753e+00,6.908197e+01,3.007918e-01,6.991178e-01,9.036219e-05
1.426621e-03,1.000778e+00,6.908367e+01,3.008178e-01,6.990918e-01,9.037409e-05
1.473454e-03,1.000803e+00,6.908544e+01,3.008447e-01,6.990649e-01,9.038639e-05
1.521825e-03,1.000829e+00,6.908726e+01,3.008724e-01,6.990372e-01,9.039908e-05
1.571784e-03,1.000857e+00,6.908914e+01,3.009010e-01,6.990085e-01,9.041220e-05
1.623382e-03,1.000885e+00,6.909108e+01,3.009306e-01,6.989789e-01,9.042575e-05
1.676675e-03,1.000914e+00,6.909309e+01,3.009612e-01,6.989484e-01,9.043974e-05
1.731717e-03,1.000944e+00,6.909516e+01,3.009927e-01,6.989168e-01,9.045419e-05
1.788566e-03,1.000975e+00,6.909730e+01,3.010253e-01,6.988842e-01,9.046912e-05
1.847281e-03,1.001007e+00,6.909951e+01,3.010590e-01,6.988505e-01,9.048454e-05
1.907924e-03,1.001040e+00,6.910180e+01,3.010938e-01,6.988157e-01,9.050047e-05
1.970558e-03,1.001074e+00,6.910416e+01,3.011297e-01,6.987798e-01,9.051692e-05
2.035248e-03,1.001110e+00,6.910659e+01,3.011668e-01,6.987427e-01,9.053391e-05
2.102061e-03,1.001146e+00,6.910911e+01,3.012051e-01,6.987044e-01,9.055146e-05
2.171068e-03,1.001184e+00,6.911171e+01,3.012446e-01,6.986648e-01,9.056959e-05
2.242340e-03,1.001223e+00,6.911440e+01,3.012855e-01,6.986239e-01,9.058832e-05
2.315951e-03,1.001263e+00,6.911717e+01,3.013277e-01,6.985817e-01,9.060767e-05
2.391980e-03,1.001304e+00,6.912003e+01,3.013713e-01,6.985381e-01,9.062765e-05
2.470504e-03,1.001347e+00,6.912299e+01,3.014163e-01,6.984930e-01,9.064829e-05
2.551606e-03,1.001391e+00,6.912605e+01,3.014628e-01,6.984465e-01,9.066961e-05
2.635371e-03,1.001437e+00,6.912921e+01,3.015108e-01,6.983985e-01,9.069163e-05
2.721885e-03,1.001484e+00,6.913247e+01,3.015604e-01,6.983489e-01,9.071437e-05
2.811239e-03,1.001533e+00,6.913584e+01,3.016117e-01,6.982976e-01,9.073787e-05
2.903527e-03,1.001584e+00,6.913932e+01,3.016646e-01,6.982447e-01,9.076214e-05
2.998844e-03,1.001636e+00,6.914291e+01,3.017192e-01,6.981900e-01,9.078721e-05
3.097291e-03,1.001689e+00,6.914662e+01,3.017757e-01,6.981335e-01,9.081311e-05
3.198969e-03,1.001745e+00,6.915046e+01,3.018340e-01,6.980752e-01,9.083986e-05
3.303985e-03,1.001802e+00,6.915442e+01,3.018942e-01,6.980149e-01,9.086749e-05
