z,delta,f,fsigma8
100.00000000000003,1.0,1.0,0.811
99.5344823472763,1.0,1.0,0.811
99.07111030529511,1.0,1.0,0.811
98.60987398475275,1.0,1.0,0.811
98.15076354192605,1.0,1.0,0.811
97.69376917846266,1.0,1.0,0.811
97.23888114117142,1.0,1.0,0.811
96.78608972181455,1.0,1.0,0.811
96.33538525690038,1.0,1.0,0.811
95.8867581274771,1.0,1.0,0.811
95.44019875892735,1.0,1.0,0.811
94.99569762076433,1.0,1.0,0.811
94.55324522642775,1.0,1.0,0.811
94.1128321330818,1.0,1.0,0.811
93.67444894141349,1.0,1.0,0.811
93.23808629543211,1.0,1.0,0.811
92.8037348822694,1.0,1.0,0.811
92.37138543198115,1.0,1.0,0.811
91.94102871734889,1.0,1.0,0.811
91.51265555368326,1.0,1.0,0.811
91.08625679862791,1.0,1.0,0.811
90.66182335196443,1.0,1.0,0.811
90.23934615541798,1.0,1.0,0.811
89.81881619246434,1.0,1.0,0.811
89.40022448813697,1.0,1.0,0.811
88.98356210883583,1.0,1.0,0.811
88.56882016213657,1.0,1.0,0.811
88.1559897966008,1.0,1.0,0.811
87.74506220158713,1.0,1.0,0.811
87.33602860706333,1.0,1.0,0.811
86.9288802834188,1.0,1.0,0.811
86.52360854127858,1.0,1.0,0.811
86.12020473131773,1.0,1.0,0.811
85.7186602440768,1.0,1.0,0.811
85.3189665097781,1.0,1.0,0.811
84.92111499814267,1.0,1.0,0.811
84.5250972182086,1.0,1.0,0.811
84.1309047181493,1.0,1.0,0.811
83.73852908509346,1.0,1.0,0.811
83.3479619449454,1.0,1.0,0.811
82.95919496220638,1.0,1.0,0.811
82.5722198397966,1.0,1.0,0.811
82.18702831887845,1.0,1.0,0.811
81.80361217867977,1.0,1.0,0.811
81.42196323631872,1.0,1.0,0.811
81.0420733466291,1.0,1.0,0.811
80.66393440198641,1.0,1.0,0.811
80.28753833213489,1.0,1.0,0.811
79.91287710401542,1.0,1.0,0.811
79.53994272159379,1.0,1.0,0.811
79.16872722569023,1.0,1.0,0.811
78.79922269380951,1.0,1.0,0.811
78.43142123997188,1.0,1.0,0.811
78.06531501454468,1.0,1.0,0.811
77.70089620407504,1.0,1.0,0.811
77.33815703112282,1.0,1.0,0.811
76.97708975409479,1.0,1.0,0.811
76.6176866670794,1.0,1.0,0.811
76.25994009968232,1.0,1.0,0.811
75.90384241686273,1.0,1.0,0.811
75.54938601877025,1.0,1.0,0.811
75.19656334058311,1.0,1.0,0.811
74.84536685234625,1.0,1.0,0.811
74.49578905881086,1.0,1.0,0.811
74.1478224992744,1.0,1.0,0.811
73.80145974742123,1.0,1.0,0.811
73.45669341116452,1.0,1.0,0.811
73.11351613248793,1.0,1.0,0.811
72.77192058728895,1.0,1.0,0.811
72.43189948522244,1.0,1.0,0.811
72.09344556954517,1.0,1.0,0.811
71.75655161696078,1.0,1.0,0.811
71.42121043746565,1.0,1.0,0.811
71.08741487419574,1.0,1.0,0.811
70.7551578032734,1.0,1.0,0.811
70.42443213365557,1.0,1.0,0.811
70.09523080698246,1.0,1.0,0.811
69.76754679742683,1.0,1.0,0.811
69.44137311154405,1.0,1.0,0.811
69.11670278812304,1.0,1.0,0.811
68.79352889803735,1.0,1.0,0.811
68.47184454409755,1.0,1.0,0.811
68.15164286090392,1.0,1.0,0.811
67.83291701469999,1.0,1.0,0.811
67.51566020322656,1.0,1.0,0.811
67.19986565557683,1.0,1.0,0.811
66.88552663205151,1.0,1.0,0.811
66.5726364240152,1.0,1.0,0.811
66.26118835375321,1.0,1.0,0.811
65.95117577432897,1.0,1.0,0.811
65.64259206944219,1.0,1.0,0.811
65.33543065328782,1.0,1.0,0.811
65.02968497041518,1.0,1.0,0.811
64.72534849558829,1.0,1.0,0.811
64.42241473364656,1.0,1.0,0.811
64.12087721936611,1.0,1.0,0.811
63.820729517321865,1.0,1.0,0.811
63.521965221750094,1.0,1.0,0.811
63.22457795641196,1.0,1.0,0.811
62.9285613744571,1.0,1.0,0.811
62.63390915828836,1.0,1.0,0.811
62.34061501942696,1.0,1.0,0.811
62.04867269837824,1.0,1.0,0.811
61.758075964498026,1.0,1.0,0.811
61.4688186158599,1.0,1.0,0.811
61.180894479122486,1.0,1.0,0.811
60.8942974093979,1.0,1.0,0.811
60.6090212901206,1.0,1.0,0.811
60.32506003291681,1.0,1.0,0.811
60.04240757747453,1.0,1.0,0.811
59.76105789141442,1.0,1.0,0.811
59.48100497016073,1.0,1.0,0.811
59.20224283681339,1.0,1.0,0.811
58.92476554202035,1.0,1.0,0.811
58.648567163850636,1.0,1.0,0.811
58.373641807667916,1.0,1.0,0.811
58.0999836060049,1.0,1.0,0.811
57.827586718437786,1.0,1.0,0.811
57.55644533146186,1.0,1.0,0.811
57.28655365836733,1.0,1.0,0.811
57.017905939115856,1.0,1.0,0.811
56.7504964402176,1.0,1.0,0.811
56.484319454608844,1.0,1.0,0.811
56.21936930153032,1.0,1.0,0.811
55.955640326405764,1.0,1.0,0.811
55.69312690072135,1.0,1.0,0.811
55.431823421905584,1.0,1.0,0.811
55.171724313209644,1.0,1.0,0.811
54.912824023588556,1.0,1.0,0.811
54.655117027582456,1.0,1.0,0.811
54.39859782519885,1.0,1.0,0.811
54.14326094179516,1.0,1.0,0.811
53.88910092796193,1.0,1.0,0.811
53.636112359406475,1.0,1.0,0.811
53.38428983683714,1.0,1.0,0.811
53.13362798584809,1.0,1.0,0.811
52.88412145680461,1.0,1.0,0.811
52.635764924728846,1.0,1.0,0.811
52.38855308918626,1.0,1.0,0.811
52.14248067417243,1.0,1.0,0.811
51.897542428000584,1.0,1.0,0.811
51.653733123189305,1.0,1.0,0.811
51.4110475563512,1.0,1.0,0.811
51.16948054808165,1.0,1.0,0.811
50.929026942848395,1.0,1.0,0.811
50.689681608881415,1.0,1.0,0.811
50.45143943806357,1.0,1.0,0.811
50.21429534582134,1.0,1.0,0.811
49.9782442710165,1.0,1.0,0.811
49.743281175838085,1.0,1.0,0.811
49.50940104569475,1.0,1.0,0.811
49.276598889107866,1.0,1.0,0.811
49.044869737605,1.0,1.0,0.811
48.81420864561376,1.0,1.0,0.811
48.58461069035635,1.0,1.0,0.811
48.35607097174452,1.0,1.0,0.811
48.1285846122749,1.0,1.0,0.811
47.90214675692494,1.0,1.0,0.811
47.67675257304933,1.0,1.0,0.811
47.45239725027686,1.0,1.0,0.811
47.22907600040766,1.0,1.0,0.811
47.00678405731119,1.0,1.0,0.811
46.78551667682431,1.0,1.0,0.811
46.565269136650194,1.0,1.0,0.811
46.34603673625744,1.0,1.0,0.811
46.12781479677988,1.0,1.0,0.811
45.910598660916534,1.0,1.0,0.811
45.69438369283243,1.0,1.0,0.811
45.479165278059476,1.0,1.0,0.811
45.26493882339808,1.0,1.0,0.811
45.0516997568191,1.0,1.0,0.811
44.839443527366306,1.0,1.0,0.811
44.628165605059145,1.0,1.0,0.811
44.417861480796205,1.0,1.0,0.811
44.20852666625886,1.0,1.0,0.811
44.00015669381555,1.0,1.0,0.811
43.79274711642637,1.0,1.0,0.811
43.586293507548284,1.0,1.0,0.811
43.38079146104051,1.0,1.0,0.811
43.17623659107054,1.0,1.0,0.811
42.97262453202061,1.0,1.0,0.811
42.76995093839439,1.0,1.0,0.811
42.56821148472433,1.0,1.0,0.811
42.36740186547938,1.0,1.0,0.811
42.167517794973,1.0,1.0,0.811
41.96855500727174,1.0,1.0,0.811
41.770509256104255,1.0,1.0,0.811
41.57337631477059,1.0,1.0,0.811
41.37715197605202,1.0,1.0,0.811
41.18183205212122,1.0,1.0,0.811
40.987412374453,1.0,1.0,0.811
40.79388879373518,1.0,1.0,0.811
40.60125717978016,1.0,1.0,0.811
40.40951342143673,1.0,1.0,0.811
40.21865342650228,1.0,1.0,0.811
40.02867312163555,1.0,1.0,0.811
39.83956845226968,1.0,1.0,0.811
39.651335382525595,1.0,1.0,0.811
39.463969895126006,1.0,1.0,0.811
39.27746799130954,1.0,1.0,0.811
39.09182569074549,1.0,1.0,0.811
38.90703903144879,1.0,1.0,0.811
38.72310406969558,1.0,1.0,0.811
38.54001687993888,1.0,1.0,0.811
38.357773554724965,1.0,1.0,0.811
38.17637020460984,1.0,1.0,0.811
37.99580295807632,1.0,1.0,0.811
37.81606796145134,1.0,1.0,0.811
37.63716137882382,1.0,1.0,0.811
37.45907939196265,1.0,1.0,0.811
37.281818200235286,1.0,1.0,0.811
37.105374020526675,1.0,1.0,0.811
36.92974308715841,1.0,1.0,0.811
36.75492165180841,1.0,1.0,0.811
36.580905983431,1.0,1.0,0.811
36.40769236817716,1.0,1.0,0.811
36.23527710931531,1.0,1.0,0.811
36.063656527152474,1.0,1.0,0.811
35.89282695895566,1.0,1.0,0.811
35.72278475887372,1.0,1.0,0.811
35.55352629785955,1.0,1.0,0.811
35.385047963592676,1.0,1.0,0.811
35.217346160402045,1.0,1.0,0.811
35.05041730918944,1.0,1.0,0.811
34.884257847352956,1.0,1.0,0.811
34.71886422871105,1.0,1.0,0.811
34.5542329234268,1.0,1.0,0.811
34.39036041793268,1.0,1.0,0.811
34.22724321485541,1.0,1.0,0.811
34.06487783294148,1.0,1.0,0.811
33.903260806982715,1.0,1.0,0.811
33.742388687742405,1.0,1.0,0.811
33.582258041881666,1.0,1.0,0.811
33.42286545188619,1.0,1.0,0.811
33.26420751599324,1.0,1.0,0.811
33.10628084811914,1.0,1.0,0.811
32.94908207778693,1.0,1.0,0.811
32.792607850054495,1.0,1.0,0.811
32.6368548254429,1.0,1.0,0.811
32.481819679865175,1.0,1.0,0.811
32.32749910455536,1.0,1.0,0.811
32.17388980599789,1.0,1.0,0.811
32.020988505857254,1.0,1.0,0.811
31.86879194090811,1.0,1.0,0.811
31.71729686296557,1.0,1.0,0.811
31.566500038815924,1.0,1.0,0.811
31.416398250147623,1.0,1.0,0.811
31.266988293482612,1.0,1.0,0.811
31.118266980107897,1.0,1.0,0.811
30.97023113600756,1.0,1.0,0.811
30.822877601794993,1.0,1.0,0.811
30.676203232645452,1.0,1.0,0.811
30.53020489822901,1.0,1.0,0.811
30.38487948264363,1.0,1.0,0.811
30.240223884348804,1.0,1.0,0.811
30.096235016099243,1.0,1.0,0.811
29.952909804879045,1.0,1.0,0.811
29.810245191836096,1.0,1.0,0.811
29.66823813221683,1.0,1.0,0.811
29.526885595301152,1.0,1.0,0.811
29.38618456433788,1.0,1.0,0.811
29.24613203648025,1.0,1.0,0.811
29.106725022721893,1.0,1.0,0.811
28.967960547833005,1.0,1.0,0.811
28.82983565029692,1.0,1.0,0.811
28.6923473822468,1.0,1.0,0.811
28.55549280940283,1.0,1.0,0.811
28.4192690110095,1.0,1.0,0.811
28.283673079773333,1.0,1.0,0.811
28.148702121800806,1.0,1.0,0.811
28.014353256536594,1.0,1.0,0.811
27.880623616702128,1.0,1.0,0.811
27.74751034823436,1.0,1.0,0.811
27.615010610224843,1.0,1.0,0.811
27.483121574859137,1.0,1.0,0.811
27.351840427356432,1.0,1.0,0.811
27.221164365909484,1.0,1.0,0.811
27.091090601624828,1.0,1.0,0.811
26.961616358463264,1.0,1.0,0.811
26.83273887318056,1.0,1.0,0.811
26.704455395268525,1.0,1.0,0.811
26.5767631868963,1.0,1.0,0.811
26.449659522851913,1.0,1.0,0.811
26.323141690484153,1.0,1.0,0.811
26.197206989644616,1.0,1.0,0.811
26.071852732630155,1.0,1.0,0.811
25.947076244125437,1.0,1.0,0.811
25.822874861145905,1.0,1.0,0.811
25.699245932980915,1.0,1.0,0.811
25.576186821137203,1.0,1.0,0.811
25.453694899282507,1.0,1.0,0.811
25.3317675531896,1.0,1.0,0.811
25.210402180680415,1.0,1.0,0.811
25.08959619157056,1.0,1.0,0.811
24.96934700761403,1.0,1.0,0.811
24.84965206244815,1.0,1.0,0.811
24.730508801538875,1.0,1.0,0.811
24.611914682126205,1.0,1.0,0.811
24.493867173169928,1.0,1.0,0.811
24.376363755295625,1.0,1.0,0.811
24.259401920740885,1.0,1.0,0.811
24.142979173301782,1.0,1.0,0.811
24.02709302827962,1.0,1.0,0.811
23.911741012427907,1.0,1.0,0.811
23.79692066389952,1.0,1.0,0.811
23.682629532194223,1.0,1.0,0.811
23.56886517810634,1.0,1.0,0.811
23.455625173672686,1.0,1.0,0.811
23.3429071021208,1.0,1.0,0.811
23.230708557817323,1.0,1.0,0.811
23.119027146216652,1.0,1.0,0.811
23.007860483809853,1.0,1.0,0.811
22.897206198073796,1.0,1.0,0.811
22.787061927420496,1.0,1.0,0.811
22.677425321146764,1.0,1.0,0.811
22.568294039383968,1.0,1.0,0.811
22.459665753048156,1.0,1.0,0.811
22.351538143790314,1.0,1.0,0.811
22.24390890394689,1.0,1.0,0.811
22.13677573649055,1.0,1.0,0.811
22.030136354981178,1.0,1.0,0.811
21.923988483517025,1.0,1.0,0.811
21.81832985668621,1.0,1.0,0.811
21.713158219518284,1.0,1.0,0.811
21.608471327436177,1.0,1.0,0.811
21.504266946208258,1.0,1.0,0.811
21.400542851900653,1.0,1.0,0.811
21.29729683082981,1.0,1.0,0.811
21.194526679515235,1.0,1.0,0.811
21.092230204632443,1.0,1.0,0.811
20.990405222966178,1.0,1.0,0.811
