z,Q,w_eff
1.000000e-03,-1.305034e+01,-9.100364e-01
1.032828e-03,-1.305069e+01,-9.100364e-01
1.066734e-03,-1.305105e+01,-9.100364e-01
1.101753e-03,-1.305142e+01,-9.100364e-01
1.137921e-03,-1.305181e+01,-9.100364e-01
1.175277e-03,-1.305220e+01,-9.100364e-01
1.213859e-03,-1.305261e+01,-9.100364e-01
1.253708e-03,-1.305304e+01,-9.100364e-01
1.294865e-03,-1.305347e+01,-9.100364e-01
1.337373e-03,-1.305392e+01,-9.100364e-01
1.381276e-03,-1.305439e+01,-9.100364e-01
1.426621e-03,-1.305487e+01,-9.100364e-01
1.473454e-03,-1.305537e+01,-9.100364e-01
1.521825e-03,-1.305588e+01,-9.100364e-01
1.571784e-03,-1.305641e+01,-9.100364e-01
1.623382e-03,-1.305696e+01,-9.100365e-01
1.676675e-03,-1.305753e+01,-9.100365e-01
1.731717e-03,-1.305811e+01,-9.100365e-01
1.788566e-03,-1.305872e+01,-9.100365e-01
1.847281e-03,-1.305934e+01,-9.100365e-01
1.907924e-03,-1.305998e+01,-9.100365e-01
1.970558e-03,-1.306065e+01,-9.100365e-01
2.035248e-03,-1.306134e+01,-9.100365e-01
2.102061e-03,-1.306205e+01,-9.100365e-01
2.171068e-03,-1.306278e+01,-9.100365e-01
2.242340e-03,-1.306354e+01,-9.100365e-01
2.315951e-03,-1.306432e+01,-9.100365e-01
2.391980e-03,-1.306513e+01,-9.100365e-01
2.470504e-03,-1.306596e+01,-9.100365e-01
2.551606e-03,-1.306682e+01,-9.100365e-01
2.635371e-03,-1.306771e+01,-9.100365e-01
2.721885e-03,-1.306863e+01,-9.100366e-01
2.811239e-03,-1.306958e+01,-9.100366e-01
2.903527e-03,-1.307057e+01,-9.100366e-01
2.998844e-03,-1.307158e+01,-9.100366e-01
3.097291e-03,-1.307263e+01,-9.100366e-01
3.198969e-03,-1.307371e+01,-9.100366e-01
3.303985e-03,-1.307482e+01,-9.100366e-01
3.412449e-03,-1.307598e+01,-9.100366e-01
3.524473e-03,-1.307717e+01,-9.100366e-01
3.640175e-03,-1.307840e+01,-9.100366e-01
3.759675e-03,-1.307967e+01,-9.100367e-01
3.883098e-03,-1.308098e+01,-9.100367e-01
4.010573e-03,-1.308234e+01,-9.100367e-01
4.142232e-03,-1.308374e+01,-9.100367e-01
4.278214e-03,-1.308519e+01,-9.100367e-01
4.418660e-03,-1.308668e+01,-9.100367e-01
4.563716e-03,-1.308823e+01,-9.100367e-01
4.713535e-03,-1.308982e+01,-9.100367e-01
4.868271e-03,-1.309147e+01,-9.100368e-01
5.028087e-03,-1.309317e+01,-9.100368e-01
5.193150e-03,-1.309493e+01,-9.100368e-01
5.363631e-03,-1.309674e+01,-9.100368e-01
5.539709e-03,-1.309862e+01,-9.100368e-01
5.721568e-03,-1.310056e+01,-9.100368e-01
5.909396e-03,-1.310256e+01,-9.100369e-01
6.103390e-03,-1.310463e+01,-9.100369e-01
6.303753e-03,-1.310676e+01,-9.100369e-01
6.510694e-03,-1.310897e+01,-9.100369e-01
6.724427e-03,-1.311125e+01,-9.100369e-01
6.945178e-03,-1.311360e+01,-9.100369e-01
7.173175e-03,-1.311603e+01,-9.100370e-01
7.408657e-03,-1.311855e+01,-9.100370e-01
7.651869e-03,-1.312114e+01,-9.100370e-01
7.903066e-03,-1.312382e+01,-9.100370e-01
8.162509e-03,-1.312659e+01,-9.100371e-01
8.430468e-03,-1.312945e+01,-9.100371e-01
8.707225e-03,-1.313241e+01,-9.100371e-01
8.993067e-03,-1.313546e+01,-9.100371e-01
9.288292e-03,-1.313861e+01,-9.100372e-01
9.593209e-03,-1.314187e+01,-9.100372e-01
9.908137e-03,-1.314524e+01,-9.100372e-01
1.023340e-02,-1.314871e+01,-9.100373e-01
1.056935e-02,-1.315231e+01,-9.100373e-01
1.091632e-02,-1.315602e+01,-9.100373e-01
1.127468e-02,-1.315985e+01,-9.100374e-01
1.164481e-02,-1.316381e+01,-9.100374e-01
1.202708e-02,-1.316791e+01,-9.100374e-01
1.242191e-02,-1.317213e+01,-9.100375e-01
1.282970e-02,-1.317650e+01,-9.100375e-01
1.325087e-02,-1.318102e+01,-9.100375e-01
