x_exp,data_obs,err_obs,I_standard,I_DVCH_best
-5.000000000000000000e-01,1.218215576426305402e+00,1.000000000000000021e-02,1.199999999999960210e+00,1.198626239999960319e+00
-4.898989898989898895e-01,1.195248776086017761e+00,1.000000000000000021e-02,1.199999999999961764e+00,1.198626239999961873e+00
-4.797979797979797789e-01,1.203426045077018003e+00,1.000000000000000021e-02,1.199999999999963762e+00,1.198626239999963872e+00
-4.696969696969697239e-01,1.203767518062121455e+00,1.000000000000000021e-02,1.199999999999965095e+00,1.198626239999965204e+00
-4.595959595959596133e-01,1.207669678196916285e+00,1.000000000000000021e-02,1.199999999999966649e+00,1.198626239999966758e+00
-4.494949494949495028e-01,1.209133736535659365e+00,1.000000000000000021e-02,1.199999999999967981e+00,1.198626239999968091e+00
-4.393939393939393923e-01,1.186528284758835428e+00,1.000000000000000021e-02,1.199999999999969535e+00,1.198626239999969645e+00
-4.292929292929292817e-01,1.193846678167732600e+00,1.000000000000000021e-02,1.199999999999970646e+00,1.198626239999970755e+00
-4.191919191919191712e-01,1.189429926277251415e+00,1.000000000000000021e-02,1.199999999999971978e+00,1.198626239999972087e+00
-4.090909090909090606e-01,1.209160610275365588e+00,1.000000000000000021e-02,1.199999999999973754e+00,1.198626239999973864e+00
-3.989898989898990056e-01,1.200004541604283270e+00,1.000000000000000021e-02,1.199999999999974643e+00,1.198626239999974752e+00
-3.888888888888888951e-01,1.204286765698719064e+00,1.000000000000000021e-02,1.199999999999975975e+00,1.198626239999976084e+00
-3.787878787878787845e-01,1.211987251946365474e+00,1.000000000000000021e-02,1.199999999999977307e+00,1.198626239999977416e+00
-3.686868686868686740e-01,1.207478502947302745e+00,1.000000000000000021e-02,1.199999999999978639e+00,1.198626239999978749e+00
-3.585858585858585634e-01,1.215156000362680011e+00,1.000000000000000021e-02,1.199999999999979750e+00,1.198626239999979859e+00
-3.484848484848485084e-01,1.215792989979234573e+00,1.000000000000000021e-02,1.199999999999980860e+00,1.198626239999980969e+00
-3.383838383838383423e-01,1.189822433716313244e+00,1.000000000000000021e-02,1.199999999999981748e+00,1.198626239999981857e+00
-3.282828282828282873e-01,1.212117999687860603e+00,1.000000000000000021e-02,1.199999999999982858e+00,1.198626239999982968e+00
-3.181818181818181768e-01,1.208142943951453718e+00,1.000000000000000021e-02,1.199999999999983968e+00,1.198626239999984078e+00
-3.080808080808080662e-01,1.207539809664939012e+00,1.000000000000000021e-02,1.199999999999984857e+00,1.198626239999984966e+00
-2.979797979797979557e-01,1.192062035248748320e+00,1.000000000000000021e-02,1.199999999999986189e+00,1.198626239999986298e+00
-2.878787878787878451e-01,1.201945782873781843e+00,1.000000000000000021e-02,1.199999999999986855e+00,1.198626239999986964e+00
-2.777777777777777901e-01,1.206227360235102797e+00,1.000000000000000021e-02,1.199999999999987965e+00,1.198626239999988075e+00
-2.676767676767676241e-01,1.202484202430887050e+00,1.000000000000000021e-02,1.199999999999988409e+00,1.198626239999988519e+00
-2.575757575757575690e-01,1.186407232026423619e+00,1.000000000000000021e-02,1.199999999999989297e+00,1.198626239999989407e+00
-2.474747474747474585e-01,1.200503298076764480e+00,1.000000000000000021e-02,1.199999999999990186e+00,1.198626239999990295e+00
-2.373737373737373479e-01,1.201180519862722118e+00,1.000000000000000021e-02,1.199999999999990852e+00,1.198626239999990961e+00
-2.272727272727272374e-01,1.201814862855910215e+00,1.000000000000000021e-02,1.199999999999991962e+00,1.198626239999992071e+00
-2.171717171717171269e-01,1.195728712370869751e+00,1.000000000000000021e-02,1.199999999999992406e+00,1.198626239999992515e+00
-2.070707070707070718e-01,1.186498003689055336e+00,1.000000000000000021e-02,1.199999999999993072e+00,1.198626239999993182e+00
-1.969696969696969613e-01,1.196673995554031755e+00,1.000000000000000021e-02,1.199999999999993738e+00,1.198626239999993848e+00
-1.868686868686868507e-01,1.181320918843941303e+00,1.000000000000000021e-02,1.199999999999994627e+00,1.198626239999994736e+00
-1.767676767676767402e-01,1.206385582903746867e+00,1.000000000000000021e-02,1.199999999999995071e+00,1.198626239999995180e+00
