metric,value
chi2_DVCH,60.208912
chi2_LCDM,85.748025
delta_chi2,-25.539113
delta_AIC,-23.539113
delta_BIC,-21.568821
chi2_DVCH_DESI,14.274487
chi2_DVCH_SDSS_DR12,4.512097
chi2_DVCH_6dF,0.041942
chi2_DVCH_CC,32.938518
chi2_DVCH_H0_prior,8.441869
chi2_LCDM_DESI,19.543483
chi2_LCDM_SDSS_DR12,5.174154
chi2_LCDM_6dF,0.109073
chi2_LCDM_CC,26.823464
chi2_LCDM_H0_prior,34.097852
bestfit_Omega_m0_DVCH,0.344729
bestfit_H0_DVCH,70.018291
bestfit_n_DVCH,0.101373
bestfit_Omega_m0_LCDM,0.308625
bestfit_H0_LCDM,66.967090
mean_Omega_m0,0.344993
mean_H0,70.005217
mean_n_DVCH,0.102074
std_Omega_m0,0.012151
std_H0,0.767030
std_n_DVCH,0.021294
max_R_minus_1,0.006628
min_N_eff,507.29
n_chains,4
pilot_steps,700
final_steps,1700
extensions_used,0
beta_fixed,1.0e-04
runtime_seconds,423.83
n_data,53
