parameter,Rhat,ESS
H0,3.197793576864326,2.5787081601450303
ombh2,2.773839557051404,2.65253721974852
omch2,0.9595141353264927,11.832427312652328
tau,3.9638317581386495,2.9223020444412673
ln10As,2.7739288221579192,2.715934427524084
ns,2.3153612240723667,2.9090278914012315
DVCH_n,1.2110759076106588,7.100255015002276
DVCH_beta,11.209252263364105,3.064195157037777
gal545_A_100,1.005762357875685,11.685085036280137
gal545_A_143,1.4186303475062494,3.9117873986058247
gal545_A_143_217,1.0355634021513878,9.95059090450455
gal545_A_217,1.0740883525977085,10.141929139271735
galf_EE_A_100,3.268253236712256,3.0575336091017324
galf_EE_A_100_143,5.53116684265121,2.641788997109261
galf_EE_A_100_217,1.4270759267467503,5.199297601362488
galf_EE_A_143,1.1522206601615803,4.49723131738402
galf_EE_A_143_217,1.1149788390709838,10.755758981633377
galf_EE_A_217,2.8333037547284508,4.429274192128968
galf_TE_A_100,13.556653815677723,2.653494891667895
galf_TE_A_100_143,4.310088694197595,3.571595456771707
galf_TE_A_100_217,2.8939264227346233,3.599154241301029
galf_TE_A_143,4.246344858181355,3.3379521306632647
galf_TE_A_143_217,1.2592291763200136,8.169787174875335
galf_TE_A_217,2.476016909396892,2.935756486424505
calib_100T,4.878964594748264,2.8996480594300587
calib_217T,0.9600706279851317,10.00093427293043
